2023-11-28 05:25:06 configure libsemanage-common:all 3.4-1 <none>
2023-11-28 05:25:06 status unpacked libsemanage-common:all 3.4-1
2023-11-28 05:25:06 status half-configured libsemanage-common:all 3.4-1
2023-11-28 05:25:06 status installed libsemanage-common:all 3.4-1
2023-11-28 05:25:06 configure debconf:all 1.5.82 <none>
2023-11-28 05:25:06 status unpacked debconf:all 1.5.82
2023-11-28 05:25:06 status half-configured debconf:all 1.5.82
2023-11-28 05:25:06 status installed debconf:all 1.5.82
2023-11-28 05:25:06 configure libnumber-compare-perl:all 0.03-3 <none>
2023-11-28 05:25:06 status unpacked libnumber-compare-perl:all 0.03-3
2023-11-28 05:25:06 status half-configured libnumber-compare-perl:all 0.03-3
2023-11-28 05:25:06 status installed libnumber-compare-perl:all 0.03-3
2023-11-28 05:25:06 configure gcc-12-base:amd64 12.2.0-14 <none>
2023-11-28 05:25:06 status unpacked gcc-12-base:amd64 12.2.0-14
2023-11-28 05:25:06 status half-configured gcc-12-base:amd64 12.2.0-14
2023-11-28 05:25:06 status installed gcc-12-base:amd64 12.2.0-14
2023-11-28 05:25:06 configure tzdata:all 2023c-5 <none>
2023-11-28 05:25:06 status unpacked tzdata:all 2023c-5
2023-11-28 05:25:06 status half-configured tzdata:all 2023c-5
2023-11-28 05:25:06 status installed tzdata:all 2023c-5
2023-11-28 05:25:06 configure ncurses-base:all 6.4-4 <none>
2023-11-28 05:25:06 status unpacked ncurses-base:all 6.4-4
2023-11-28 05:25:06 status half-configured ncurses-base:all 6.4-4
2023-11-28 05:25:06 status installed ncurses-base:all 6.4-4
2023-11-28 05:25:06 configure libgcc-s1:amd64 12.2.0-14 <none>
