2023-11-28 21:14:38 install diffutils:amd64 <none> 1:3.8-4
2023-11-28 21:14:38 status half-installed diffutils:amd64 1:3.8-4
2023-11-28 21:14:38 status unpacked diffutils:amd64 1:3.8-4
2023-11-28 21:14:38 upgrade dpkg:amd64 1.21.22 1.21.22
2023-11-28 21:14:38 status half-configured dpkg:amd64 1.21.22
2023-11-28 21:14:38 status unpacked dpkg:amd64 1.21.22
2023-11-28 21:14:38 status half-installed dpkg:amd64 1.21.22
2023-11-28 21:14:39 status unpacked dpkg:amd64 1.21.22
2023-11-28 21:14:39 install e2fsprogs:amd64 <none> 1.47.0-2
2023-11-28 21:14:39 status half-installed e2fsprogs:amd64 1.47.0-2
2023-11-28 21:14:39 status unpacked e2fsprogs:amd64 1.47.0-2
2023-11-28 21:14:40 install libcom-err2:amd64 <none> 1.47.0-2
2023-11-28 21:14:40 status half-installed libcom-err2:amd64 1.47.0-2
2023-11-28 21:14:40 status unpacked libcom-err2:amd64 1.47.0-2
2023-11-28 21:14:40 install libext2fs2:amd64 <none> 1.47.0-2
2023-11-28 21:14:40 status half-installed libext2fs2:amd64 1.47.0-2
2023-11-28 21:14:40 status unpacked libext2fs2:amd64 1.47.0-2
2023-11-28 21:14:40 install libss2:amd64 <none> 1.47.0-2
2023-11-28 21:14:40 status half-installed libss2:amd64 1.47.0-2
2023-11-28 21:14:40 status unpacked libss2:amd64 1.47.0-2
2023-11-28 21:14:40 install logsave:amd64 <none> 1.47.0-2
2023-11-28 21:14:40 status half-installed logsave:amd64 1.47.0-2
2023-11-28 21:14:40 status unpacked logsave:amd64 1.47.0-2
2023-11-28 21:14:40 install findutils:amd64 <none> 4.9.0-4
2023-11-28 21:14:40 status half-installed findutils:amd64 4.9.0-4
2023-11-28 21:14:41 status unpacked findutils:amd64 4.9.0-4
2023-11-28 21:14:41 install gcc-12-base:amd64 <none> 12.2.0-14
2023-11-28 21:14:41 status half-installed gcc-12-base:amd64 12.2.0-14
2023-11-28 21:14:41 status unpacked gcc-12-base:amd64 12.2.0-14
2023-11-28 21:14:41 install libgcc-s1:amd64 <none> 12.2.0-14
2023-11-28 21:14:41 status half-installed libgcc-s1:amd64 12.2.0-14
2023-11-28 21:14:41 status unpacked libgcc-s1:amd64 12.2.0-14
2023-11-28 21:14:41 install libstdc++6:amd64 <none> 12.2.0-14
2023-11-28 21:14:41 status half-installed libstdc++6:amd64 12.2.0-14
2023-11-28 21:14:41 status unpacked libstdc++6:amd64 12.2.0-14
2023-11-28 21:14:41 install libgdbm-compat4:amd64 <none> 1.23-3
2023-11-28 21:14:41 status half-installed libgdbm-compat4:amd64 1.23-3
2023-11-28 21:14:41 status unpacked libgdbm-compat4:amd64 1.23-3
2023-11-28 21:14:41 install libgdbm6:amd64 <none> 1.23-3
2023-11-28 21:14:41 status half-installed libgdbm6:amd64 1.23-3
2023-11-28 21:14:41 status unpacked libgdbm6:amd64 1.23-3
2023-11-28 21:14:41 install libc-bin:amd64 <none> 2.36-9+deb12u2
2023-11-28 21:14:41 status half-installed libc-bin:amd64 2.36-9+deb12u2
2023-11-28 21:14:42 status unpacked libc-bin:amd64 2.36-9+deb12u2
2023-11-28 21:14:42 upgrade libc6:amd64 2.36-9+deb12u2 2.36-9+deb12u2
2023-11-28 21:14:42 status half-configured libc6:amd64 2.36-9+deb12u2
2023-11-28 21:14:42 status unpacked libc6:amd64 2.36-9+deb12u2
2023-11-28 21:14:42 status half-installed libc6:amd64 2.36-9+deb12u2
2023-11-28 21:14:43 status unpacked libc6:amd64 2.36-9+deb12u2
2023-11-28 21:14:43 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2023-11-28 21:14:43 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2023-11-28 21:14:43 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2023-11-28 21:14:43 install gpgv:amd64 <none> 2.2.40-1.1
2023-11-28 21:14:43 status half-installed gpgv:amd64 2.2.40-1.1
2023-11-28 21:14:44 status unpacked gpgv:amd64 2.2.40-1.1
2023-11-28 21:14:44 install libgnutls30:amd64 <none> 3.7.9-2
2023-11-28 21:14:44 status half-installed libgnutls30:amd64 3.7.9-2
2023-11-28 21:14:44 status unpacked libgnutls30:amd64 3.7.9-2
2023-11-28 21:14:44 install grep:amd64 <none> 3.8-5
2023-11-28 21:14:44 status half-installed grep:amd64 3.8-5
2023-11-28 21:14:44 status unpacked grep:amd64 3.8-5
2023-11-28 21:14:44 install gzip:amd64 <none> 1.12-1
2023-11-28 21:14:44 status half-installed gzip:amd64 1.12-1
2023-11-28 21:14:44 status unpacked gzip:amd64 1.12-1
2023-11-28 21:14:44 install hostname:amd64 <none> 3.23+nmu1
2023-11-28 21:14:44 status half-installed hostname:amd64 3.23+nmu1
2023-11-28 21:14:44 status unpacked hostname:amd64 3.23+nmu1
2023-11-28 21:14:44 install init-system-helpers:all <none> 1.65.2
2023-11-28 21:14:44 status half-installed init-system-helpers:all 1.65.2
2023-11-28 21:14:44 status unpacked init-system-helpers:all 1.65.2
2023-11-28 21:14:45 install libcap-ng0:amd64 <none> 0.8.3-1+b3
2023-11-28 21:14:45 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2023-11-28 21:14:45 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2023-11-28 21:14:45 install libcap2:amd64 <none> 1:2.66-4
2023-11-28 21:14:45 status half-installed libcap2:amd64 1:2.66-4
2023-11-28 21:14:45 status unpacked libcap2:amd64 1:2.66-4
2023-11-28 21:14:45 install libffi8:amd64 <none> 3.4.4-1
2023-11-28 21:14:45 status half-installed libffi8:amd64 3.4.4-1
2023-11-28 21:14:45 status unpacked libffi8:amd64 3.4.4-1
2023-11-28 21:14:45 install libfile-find-rule-perl:all <none> 0.34-3
2023-11-28 21:14:45 status half-installed libfile-find-rule-perl:all 0.34-3
2023-11-28 21:14:45 status unpacked libfile-find-rule-perl:all 0.34-3
2023-11-28 21:14:46 install libgcrypt20:amd64 <none> 1.10.1-3
2023-11-28 21:14:46 status half-installed libgcrypt20:amd64 1.10.1-3
2023-11-28 21:14:46 status unpacked libgcrypt20:amd64 1.10.1-3
2023-11-28 21:14:46 install libgpg-error0:amd64 <none> 1.46-1
2023-11-28 21:14:46 status half-installed libgpg-error0:amd64 1.46-1
2023-11-28 21:14:46 status unpacked libgpg-error0:amd64 1.46-1
2023-11-28 21:14:46 install libidn2-0:amd64 <none> 2.3.3-1+b1
2023-11-28 21:14:46 status half-installed libidn2-0:amd64 2.3.3-1+b1
2023-11-28 21:14:46 status unpacked libidn2-0:amd64 2.3.3-1+b1
2023-11-28 21:14:46 install libmd0:amd64 <none> 1.0.4-2
2023-11-28 21:14:46 status half-installed libmd0:amd64 1.0.4-2
2023-11-28 21:14:46 status unpacked libmd0:amd64 1.0.4-2
2023-11-28 21:14:46 install libnumber-compare-perl:all <none> 0.03-3
2023-11-28 21:14:46 status half-installed libnumber-compare-perl:all 0.03-3
